url,type
http://djkatrina.ru/persony/biografii/dvj-bazuka-bazuka.html,defacement
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E4%BA%BA%E5%A6%BB%E3%83%BB%E7%86%9F%E5%A5%B3%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FFjzoVfi7WFxIpetS+%E5%AF%82%E3%81%97%E3%81%84%E4%BA%BA%E5%A6%BB+%23ero+%23douga+%23agesage,benign
boxingscene.com/lucian-bute-breaks-down-andre-ward-carl-froch--43792,benign
http://www.rentmedia.com.ua/arenda-oborudovanija/vspomogatelnoe-oborudovanie/katalog/108-sony-minidv-dcrvx2100e.html,defacement
hutchgov.com/,benign
www.webring.com/hub?ring=mektonz,phishing
tools.ietf.org/html/rfc737,phishing
http://rudinahoxha.com/wp-content/plugins/yahoolink22/yahoofinal/yahoo/index.htm,phishing
silkysteps.com/forum/forumdisplay.php?f=269,benign
https://7426fbe0d8676fde2cac756c0731ce57.udagwebspace.de/f182e1e016704319c6b6d947eeb7f77fNGRkZTkzMTExMWEwYzg0OGYzYTI4MDA2ODM4ODE2ODQ=/signin/,phishing
http://www.lagunasdelcatedral.com/lagunas/index.php?option=com_content&view=category&layout=blog&id=2&Itemid=9,defacement
sportsillustrated.cnn.com/2009/writers/luke_winn/10/15/preseason/index.html,benign
alexa.com/siteinfo/stm.info,benign
myspace.com/cfox1455,benign
focus-hvac.com/,benign
http://myimmobilier.com/index.php?%2Fparis-location-gestion.html,defacement
en.wikipedia.org/wiki/The_Caveman%27s_Valentine,benign
whitneydeal.com/,benign
http://atwiki.jp/wiki/%E3%83%91%E3%83%81%E5%A4%AB%E3%81%8F%E3%82%93%20%E3%81%82%E3%81%93%E3%82%84%E3%81%8C%E3%81%84,benign
rstreetmarketplaza.org/,benign
'www.zumbapolska.com/includes/Denmark/Sikker\%20nettbetaling.htm',benign
http://sfhhz.com/contents/142/1761.html,defacement
url2it.com/sdio,benign
sports.espn.go.com/mlb/news/story?id=2914994,benign
fredericksburg.com/News/FLS/2004/092004,benign
tunein.com/radio/Plan%c3%a8te-Jazz-919-s47769/,benign
http://www.pro-cycling-tours.co.uk/prices,defacement
dictionary.sensagent.com/rébellion+des+patriotes/fr-fr/,benign
lieugiaivinhomes.com.vn,malware
mylife.com/zip-codes/b3-323185/,benign
youtube.com/watch?v=iBv2w_w3SeU,benign
novelguide.com/a/discover/ewb_07/ewb_07_03031.html,benign
redlacpost.com/,benign
http://www.cla-liege.be/activites/autres-activites.feed?type=atom,defacement
ca.linkedin.com/pub/jacques-leduc/6/147/1a,benign
examiner.com/iowa-barnstormers-in-des-moines/troy-vicker,benign
razorgator.com/tickets/venues/arrowhead-stadium/,benign
nudevista.com/?q=white&s=t,benign
celebritybazar.com/ami_dolenz/,benign
web.icenetwork.com/skaters/detail.jsp?id=39070&mode=P,benign
dictionary.sensagent.com/université+de+sherbrooke/fr-fr/,benign
trulia.com/homes/North_Carolina/Huntersville/sold/283948-6707-Dunton-St-Huntersville-NC-28078,benign
xero0.blogspot.com/2008/01/all-shall-perish-hate-malice-revenge.html,benign
becomeaselfmademillionaire.co.uk,phishing
http://www.briard-stark.de/termine.html,defacement
mirandagibson.com/,benign
http://www.nabu-gaildorf.de/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=31&Itemid=33,defacement
hitfix.com/blogs/the-beat-goes-on/posts/review-social-distortions-hard-times-and-nursery-rhymes,benign
homefinder.com/OH/Lima/,benign
chycor.co.uk/tourism/dairyland/,benign
randomhouse.ca/catalog/display.pperl?isbn=9782894722596,benign
http://www.deliaclaudio.it/index.php?option=com_content&view=article&id=116:pd-cervia&catid=31:eseguiti&Itemid=103,defacement
games.groups.yahoo.com/group/chicken-head/,phishing
askbiography.com/bio/Kentucky_Wildcats_mens_basketball.html,benign
holidayyear.com/birthdays-February-1.php,benign
www.rjwest.ca/accessories/,phishing
http://www.mpssecurity.com.au/index.php?option=com_content&view=article&id=69:manpower&Itemid=183,defacement
www.gnustep.org/resources/ObjCFun.html,phishing
http://www.radioniepokalanow.pl/program/publicystyka/2531-czym-jest-naprotechnologia.html,defacement
www.peypal.com-cgi-bin-webscr-cmd.login-run.457822s151515c85184954s9541home.country-lang.x-true44w8.digitalphotographycourseslondon.co.uk/5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d34b4bf5056870803/9efd0339d09803237ab57a01560cbc44/,benign
en.wikipedia.org/wiki/Symbian_OS,phishing
facebook.com/amber.m.bourassa,benign
http://mahshov.com/index.php?option=com_content&view=article&id=16:2010-04-04-14-47-05&catid=2&Itemid=17,defacement
https://drive.google.com/uc?export=download&id=1KJR9jaZaFFPTO8zWis7UhaQ1hoL89T5h,malware
pipl.com/directory/people/Kate/Carew,benign
melaniemorgan.com/,benign
123people.ca/s/pietro+poletti,benign
http://www.sindisan.org.br/index.php?option=com_content&view=article&id=16&Itemid=71,defacement
baseball-reference.com/teams/OAK/2002.shtml,benign
http://123.11.38.78:38302/Mozi.m,malware
en.wikipedia.org/wiki/Office_and_Professional_Employees_International_Union,benign
youtube.com/watch?v=QFYivx1W6bY,benign
grandviewedfoundation.org/?p=1,benign
learnnc.org/lp/editions/nchist-worldwar/5830,benign
facebook.com/pages/Cin%C3%A9Groupe/104068486295879,benign
accelerator3359.com/Wrestling/bios/rougeau.html,benign
newsarama.com/film/sdcc-2011-legendary-pictures-panel-110722.html,benign
http://www.tortasprimor.cl/index.php?option=com_djcatalog2&view=item&id=1360:647&cid=8:cumpleanos&Itemid=22,defacement
xn--fuson-1sa.org,phishing
https://lacasadelmanitas.com/auth,phishing
pintandomusica.blogspot.com/2010/11/roy-hargrove.html,benign
tools.ietf.org/html/rfc728,phishing
guardian.co.uk/film/walt-disney-company,benign
en.wikisource.org/wiki/Wikisource:Portal_classification_system_adaptation,benign
en.wikipedia.org/wiki/Robin_Stille,benign
blockbuster.com/browse/catalog/movieDetails/62512,benign
cigarero.com/Washington/Issaquah/,benign
xerces.apache.org/xerces2-j/,phishing
canadianclassicrock.com/roster/soda.shtml,benign
http://babal.net/news/view/42901/%D8%AF%D8%B9%D9%88%D9%89-%D9%82%D8%B6%D8%A7%D8%A6%D9%8A%D8%A9-%D9%84%D8%AD%D8%B5%D9%88%D9%84-%D8%A7%D9%84%D8%A3%D8%B7%D8%A8%D8%A7%D8%A1-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%AE%D8%A7%D8%B7%D8%A8%D9%8A%D9%86-%D8%A8%D9%82%D8%A7%D9%86%D9%88%D9%86-14-%D8%B9%D9%84%D9%89-%D9%85%D9%85%D9%8A%D8%B2%D8%A7%D8%AA%D9%87,benign
mylife.com/tonychongbaeza,benign
www.aereal.com/faq/,phishing
myspace.com/trompelemondedjs,benign
paypal.co.uk.webscr.login.submit.bikeamigos.com.br/uk/cgi-bin/70965cad74f6ad9335e29e83adafb635/,benign
edupic.net/fractions.htm,benign
indianafind.com/Counties/Bartholomew/index.html,benign
http://www.jardinerie-beloeil.be/index.php?option=com_content&view=article&id=67&Itemid=91,defacement
en.wikipedia.org/wiki/Andrew_Stewart,benign
youtube.com/watch?v=v2oX8gpt574,benign
www.rackspace.com/email_hosting/,phishing
http://idrifla.com/index.html,defacement
nhlbi.nih.gov/health/dci/Diseases/scda/scda_whatis.html,benign
imdb.com/title/tt0410414/,benign
www.schwab-service912244144.com?m=cmljay5tLnBvdHRyYXR6QG1lZHRyb25pYy5jb20,benign
the-only-maryse-ouellet.skyrock.com/,benign
allshallperish.com/,benign
collegebound.net/college-university/article/james-a-rhodes-state-college/8156/,benign
spokeo.com/Ken+Rutherford,benign
en.wikipedia.org/wiki/Vince_Albritton,benign
greenwichctdentist.com/dentist-general/dental-practice.htm,benign
megaupload.com/?d=R4RWWAJ0,benign
http://www.selbsthilfegruppen.at/index.php?option=com_content&view=article&id=2:herzverband&catid=1:zentrum-allgemein&Itemid=4,defacement
dpstreinamentoesportivo.com.br//wp-includes/Text/aa/ppbb/,benign
http://www.needleseyeindustries.com/sejeal.jpg,defacement
aaroads.com/california/i-080_ca.html,benign
flickr.com/photos/wigwam/2630349031/,benign
http://download.cardesales.com/update/2/www_xiang360_net.exe,malware
home.comcast.net/~delucia2/,benign
one21music.com/2011/02/american-idol-season-10-picks-the-top-24/,benign
www.teraway.com/livehelp/,phishing
http://www.eroscarboni.com/index.php?option=com_content&view=category&id=12&Itemid=4,defacement
nba.com/coachfile/brian_shaw/index.html?nav=page,benign
http://www.originalvolunteers.co.uk/destinations/kenya/volunteer-kenya-masai-project.html,defacement
spokeo.com/Luis+Zavala,benign
http://www.easyphonia.com/instructions/instructions.1,defacement
www.airnav.com/airports/us/VA,phishing
http://www.meleagris.gr/contact-us?lang=el,defacement
lahistory.org/site19.php,benign
http://www.disline.es/diseno-web.html?tmpl=component&print=1&page=,defacement
imdb.com/title/tt1231460/,benign
http://www.prismpgh.org/component/events/index.html?task=view_day&year=2012&month=01&day=03,defacement
www.angelfire.com/bc/Dee1/DeeBG13.html,phishing
moritzlaw.osu.edu/careerservices/guides/careers/clerkships/judges_hires.php,benign
glendalegalleria.com/,benign
http://babal.net/downloads_details/827/%D9%86%D8%BA%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%88%D9%85-%D8%AA%D8%A7%D9%85%D8%B1-%D8%AD%D8%B3%D9%86%D9%8A-2014,benign
http://solutions-acoustiques.com/Myjourney/gduc/,phishing
lnk.co/u56iu56,benign
yoshis.com/oakland/jazzclub/artist/show/2270,benign
http://www.toriyama-k.jp/setuzei.html,defacement
facebook.com/people/Charles-Herbert-Anderson-III/1258740648,benign
http://www.yyjanet.com/news/9/10826.aspx,defacement
http://indianexpress.com/article/opinion/columns/chinese-takeaway-modi-in-mongolia/,benign
politicalgraveyard.com/bio/alexander.html,benign
usdish.com/packages_detail.html?id=235,benign
nick.com/animation-festival/video.jhtml,benign
migenweb.net/kent/cemeteries/byron/winchester/winchester.html,benign
http://odon-hotel.ru/index.php?option=com_content&view=category&layout=blog&id=21&Itemid=50,defacement
amazon.com/John-Kaizan-Neptune/e/B000APVDK6,benign
http://www.webconference.su/index.php?option=com_content&view=article&id=46:about-us&catid=34:2010-07-04-14-54-09&Itemid=57,defacement
pornstar.com/Vanessa_Lane/,benign
espn.go.com/blog/sec/tag/_/name/dre-kirkpatrick,benign
hbdirect.com/album/1307446-guido-basso-doug-riley-a-lazy-afternoon.html,benign
torrentcrazy.com/torrent/1017181/queen.rock.montreal.-.live.aid.bluray.1080p.vc-1.lcpm.remux-cerealkiller,benign
alibaba.com/countrysearch/IN/motherboard.html,benign
entertainment.time.com/2010/06/08/top-10-post-apocalyptic-books/slide/the-road/,benign
ultimatemets.com/gamedetail.php?gameno=2,benign
facebook.com/mobify,benign
en-gb.facebook.com/mikepatton,benign
www.actiontrip.com/reviews/americanmcgeesalice.phtml,phishing
lawrencecjcary.org/,benign
http://stackoverflow.com/questions/483193/how-can-i-list-all-foreign-keys-referencing-a-given-table-in-sql-server,benign
fontshop.com/fontlist/subclasses/sans_humanist/,benign
news919.com/news/national/article/302582--twenty-eight-people-arrested-in-major-drug-sweeps-in-quebec-and-new-brunswick,benign
fellowcitizensmusic.com/,benign
dailymotion.com/video/x93fro_best-hindi-song-mukesh-kabhi-kabhi_music,benign
angelfire.com/me4/maryilene/malouin.html,benign
yidio.com/show/bellator-fighting-championships,benign
scribd.com/doc/26617186/HTML-Head-Title-Full-Text-of-Waterproofing-Engineering,benign
assembly.gov.nt.ca/_live/pages/wpPages/housebusnewsrelease2007.aspx,benign
maurymaverick.wordpress.com/2011/05/23/maury-maverick-a-political-biography/,benign
twincitieshalloweencentral.com/,benign
http://www.wsnc.org.au/component/jcalpro/view/1343,defacement
http://pastehtml.com/view/b9m44oqlf.html,phishing
saintandrews.org/,benign
http://pcavto.ru/forum/index.php?app=forums&module=forums&section=markasread&marktype=app&markApp=forums&k=880ea6a14ea49e853634fbdc5015a024,defacement
www2.nvrsk.ru/~valmars/,phishing
voice123.com/andrestanley,benign
strawberrycreekinn.com/bunkhouse.htm,benign
tvguide.com/celebrities/tony-moran/275342,benign
bryantangelo.com,phishing
http://5.29.175.150:59666/.i,malware
https://mitsui-jyuku.mixh.jp/uploads/68013687ead846bae3d6dc2187ebf1d00be.exe,malware
search.roanokevalley-longandfoster.com/agent/AgentDetail.asp?CEQ_AgentCode=hanson,benign
whosdatedwho.com/tpx_10619/claude-rains/,benign
amazon.com/Unfortunately-Was-Paradise-Selected-Poems/dp/0520237544,benign
eurohockey.net/players/show_player.cgi?serial=15081,benign
mobilewhack.com/telus-to-launch-blackberry-tour-htc-snap-and-htc-touch-pro2-in-july/,benign
http://www.jaktogfjellsport.no/index.php?option=com_banners&task=click&bid=16,defacement
http://florsiris.com/index.php?view=category&catid=6&option=com_joomgallery&Itemid=56,defacement
flixster.com/actor/joyce-jameson,benign
paypal--limited.int.tf/?=paypal=_login-submit&dispatch=service_centre?source=security&customer=aD7EFQu6opqoDjQ6S7H0yvE7GTHLSqMSUJnqqHmF,benign
http://222.140.183.131:46884/Mozi.m,malware
pmpress.org/,benign
http://mirtesen.ru/composition/20776397521?utm_campaign=composition&utm_source=mirtesen&utm_medium=page_1,benign
http://sparcochile.com/index.php?page=shop.browse&category_id=4&option=com_virtuemart&Itemid=65,defacement
abcnews.go.com/Video/playerIndex?id=11490063,benign
http://www.gomastears.com/index.php?option=com_content&view=category&id=13:biodiversity&Itemid=19&layout=default,defacement
http://111.42.102.147:44221/Mozi.m,malware
monarchfranchising.com/,benign
https://ltaucard.tk/home.php,phishing
http://www.leblancathletisme.fr/index.php?view=article&catid=34:news&id=49:revue-de-presse&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=56,defacement
http://88.218.17.197/Seijin.i586,malware
bowater.ca/,benign
maxalbums.com/index.php?search=Krizz+Kaliko,benign
http://123.189.149.220:56801/Mozi.m,malware
discoverweston.com/aol.html,benign
forecaster.thehockeynews.com/hockeynews/hockey/player.cgi?2376,benign
http://www.gradeaid.com.au/index.php?option=com_xmap&sitemap=1&Itemid=51,defacement
en.wikipedia.org/wiki/Marguerite_Chapman,benign
laughingsquid.com/amazing-guitarist-erik-mongrain/,benign
http://bodrumdil.com/nglzce/vip-ngilizce/207-grup-ngilizce-fiyatlar.html,defacement
https://docs.google.com/forms/d/e/1FAIpQLSeuANMUDRkBIOcGULkaFh9e8o3oQQkNNN8raQtcVxcmWDjIfg/viewform,phishing
http://olx.co.id/i2/keperluan-pribadi/make-up-parfum/make-up/keperluan-pribadi/make-up-parfum/make-up,benign
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7crqaNmzpRtT-pKpCghn18rBm05NkJCmuFBM2KT1vYdJTfx2m3uGHiLA5BVEb8Fb16riesCKuPNdLH6N8SumYTIfFw70yytauWLAGfszIOkrFyRZmqCn12zic0bsdMlr5mEcCMRTz4ugcwL9d2YHenL8juBjX2TAjWJsDdcGDAEPHgt4klXAgtzAsECR_zE02F8OAcdtBUrIuwAFFv_GNyzUfNdzuQ\%3D\%3D&amp;attredirects=1',benign
www.codefoot.com/delphi/,phishing
sportplanet.com/sbb/hfbl/html/players.html,benign
http://www.natuurfotovanderhart.nl/newsblog/165-workshop-photo-gambia-2012.html,defacement
uk.ask.com/wiki/Patrick_Bordeleau,benign
https://optest0.hot-profile.com/outsourcing/hot-profile/include/proorg,phishing
inetis.com/index.php?module=ttemulator,phishing
http://mic.com/articles/117472/watch-the-viral-video-that-just-got-these-teenage-sisters-signed-by-beyonc,benign
multiplan.com/patients/,benign
imdb.com/name/nm2328270/,benign
w3spy.org/site/yoopa.ca,benign
en.wikipedia.org/wiki/Town_Pavilion,benign
aldrinemilian.com,phishing
ih722375.myihor.ru,phishing
obsessedwithwrestling.com/profiles/b/bob-geigel.php,benign
soccerway.com/matches/2011/10/05/argentina/primera-b-nacional/club-atletico-river-plate/club-atetico-atlanta/1153684/,benign
http://945wg.com/news/index.html?563.html,defacement
halloweenfiles.com/wiki.php?title=Disney_Junior,benign
go-montreal.com/lachine_rapids/index.htm,benign
paypal.com-us.cgi-bin.webscr-cm-login.submit-distch.588us1-9db1.net-hosting.gr/tml/paypal.com-us.cgi-bin.webscr-cm-login.submit-distch.588us1-9db1/3968dfa147847a15c6c5d1d3a961fe4f/,benign
imdb.com/name/nm0302818/bio,benign
webmii.com/Result.aspx?f=Shelley&l=Berman&r=en-us,benign
absoluteastronomy.com/topics/Ken_Daneyko,benign
http://www.laasesmeden-schroeder.dk/index.php/herfinderduos,defacement
en.wikipedia.org/wiki/Buy_Nothing_Day,benign
vancouversun.com/sports/Cascadia+Vancouver+Whitecaps+Portland+Timbers/5283129/story.html,benign
nifwa.com/welcome.html,benign
bookrags.com/Amy_Tan,benign
svahtraders.com/,benign
promo-james.ru/logo/,benign
cielomaster.com/,benign
http://www.diarco.com.pe/portal/index.php?option=com_content&view=article&id=8&catid=5&Itemid=10,defacement
http://www.insel-schuetzen.de/index.php?option=com_joomgallery&func=detail&id=446&Itemid=75,defacement
https://gcbmarketing.com/ubs.com/login.htm,phishing
prnewswire.com/news-releases/the-glad-products-company-offers-thousands-of-free-trash-bags-for-community-service-projects-nationwide-107245123.html,benign
kunalmarketing.com/itm.php,benign
http://spectrumclub.net/extensions?start=4,defacement
waatp.com/people/holly-l-dextraze/38097280/,benign
kmprod.com/s_patterson.htm,benign
ivc.edu/athletics/mbasketball/pages/coaching.aspx,benign
youtube.com/watch?v=39d3WECNSSA,benign
bestwestern.qc.ca,phishing
vallechoapa.cl/tmp/paypal.com/cgi-bin/server/25112qa5885d80a13c0db1f8e263663d3faee8db2b24f7b84fa/secure-code128/security/,benign
http://ltaucard.com/itaucard,phishing
pipl.com/directory/people/Aldo/Fazio,benign
wiki.answers.com/Q/How_do_you_remove_the_header_panel_of_a_1980_Pontiac_Grand_Prix,benign
www.networkcomputing.com/netdesign/ip101.html,phishing
http://www.sportraad-maasmechelen.be/index.php?view=weblink&catid=11:voetbalclubs&id=6:patro-eisden-maasmechelen&option=com_weblinks&Itemid=10,defacement
amucel.org/old_aol.1.3country/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,benign
tools.ietf.org/html/rfc230,phishing
download.oracle.com/javafx/1.2/gettingstarted/javafx/index.html,phishing
gamesmojo.com/wp-content/plugins/akismet/4712200430/43264726363475426/,benign
www-paypal-com-login.52369845l96h3t3654878716789512429479572494.232324667124267eritu23038749812487.er29831841871487146714jru2498.2358rutd8d9f3g7g1887go9d6f27e9l6h9r42h448716786969853324.weddingcarhire.com.au/reboot.php,benign
usa-people-search.com/Find-Robert-Davis-San-Antonio-TX.aspx,benign
cms.3m.com/cms/US/en/2-115/cerlRFW/view.jhtml,phishing
http://mylust.com/videos/49441/i-fucked-my-hefty-arab-wife-hard-in-missionary-position/,benign
umb.com/Personal/Investing/index.html,benign
spoke.com/info/pChfGKI/FredGleeson,benign
mp3raid.com/music/ant_banks.html,benign
poemhunter.com/lyrics/april-wine/biography/,benign
http://www.abesprev.com.br/templatenew1/index.php/classificados-servios-35.html,defacement
www.dowcorning.com/electrical,phishing
youtube.com/watch?v=1hZrD73zfQ0,benign
all-shares.com/J/jean-pierre-ferland.html,benign
paypaluk.zapto.org/11/3/,benign
features.rr.com/topic/Heidi_Montag,benign
http://www.letni-tabor.eu/index.php?view=article&catid=31:informace-pro-rodi&id=66:tabor13&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=48,defacement
marche-public440.com/index.php/page/view/95.html,benign
http://www.jinxiuyuanlin.com/js/?http://us.battle.net/login/en/?ref=http://us.battle.net/d3/en/index&amp;app=com-d3,phishing
facebook.com/norman.b.lewis,benign
https://mitsui-jyuku.mixh.jp/uploads/5644d4fe8115bf6b56a9f2357e2c9e699c5.exe,malware
www.tim-mann.org/trs80faq.html,phishing
new.music.yahoo.com/jean-leloup/photos/,benign
maverickentertainment.cc/films.php?CategoryID=1,benign
tukangsewa.com,phishing
tokyoweather.net/index.php/ct/w/s/99,benign
pay11.org,phishing
voicesofthegulag.blogspot.com/,benign
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cq4w8HK0g9KbK7M-C0rxIGHUqd77hz4KWAaw4alX5UmBQI7Y0HXAIH8uirie2THGsTeB8u61QFkjiUF8YyYfRUZbxCTSU3KsfwvgmBHj5HkLt3f2PzL9zVBJXUu96G_6B3s9synzzJHcINAXyetmgjsGKNBbRXeUQoP56A0n9QpqeXiwQi6PPnL7_5nr2e7m6SmdvA8wAkUDQyFElyaJYlM_Lq89Q\%3D\%3D&amp;attredirects=2',benign
huffingtonpost.com/2011/09/05/tinker-tailor-soldier-spy-review_n_949306.html,benign
'jxyx99.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',benign
http://www.nicolatessari.it/index.php/it/crediti?tmpl=component&print=1&page=,defacement
lets-talk-computers.com/guests/diskeeper/dpan/,benign
woulfefamily.com/ardagh_limerick_woulfes,benign
bridgestreet.com/Sitemap_Locations.aspx,benign
http://manola-souvanlasy.com/index.php?option=com_kunena&Itemid=69&func=view&catid=2&id=3,defacement
http://www.guillermoroses.net/index.php?view=article&catid=13:contenidos&id=100:decalogo-de-medidas-para-la-salida-de-la-crisis-&tmpl=component&print=1&layout=default&page=&lang=en,defacement
dui-coconut-creek.com/,benign
centricle.com/tools/favelets/,phishing
scores.espn.go.com/mlb/recap?gameId=310705102,benign
sourcewatch.org/index.php?title=Great_Plains_Energy,benign
tunein.com/radio/CINQ-FM-1023-s24681/,benign
wvmqquthmutualportmutual.000webhostapp.com,phishing
http://www.eca.edu.au/how-to-apply/index.html,defacement
http://neues-atelierhaus-panzerhalle.de/kuenstler/silvia-klara-breitwieser/132-silvia-klara-breitwieser-arbeiten.html,defacement
ristorantecateringdaluca.com/wp-admin/user/ibcarregister-natwst.html,benign
efecebeci.com,malware
iac.lockton-ins.com/,benign
interceder.net/topic/lavoie,benign
http://gras.rs/component/contact/12-contacts/1-veroljub-radoja-veroljub-radoja.html,defacement
en.wikipedia.org/wiki/Steven_Cojocaru,benign
profile.live.com/cid-1212e1715d8c07d6/,benign
manta.com/c/mtrllmd/michael-choquette,benign
artic.edu/aic/collections/exhibitions/Kings-Queens/index,benign
http://www.abertosp.com/index.php?view=article&catid=64:2013&id=228:aberto-de-sao-paulo&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=80,defacement
scoresreport.com/2010/04/17/printable-2010-nba-playoffs-bracket/,benign
abc.go.com/shows/modern-family/family-tree,benign
amazon.com/Produced-Remixed/dp/B000QZUYZK,benign
men.tostyle.net/~animegun/canadapaypal/error_login.html,benign
http://momoshop.com.tw/category/LgrpCategory.jsp?l_code=2112000000&Area=tooth&FTOOTH=21&mdiv=1000900000-bt_5_023_03&ctype=B,benign
'www.fullsure.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fdvvqrkfus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',benign
fuxg.com/verify.PayPal.c0m.5/b98d68a798b428991f9a0f6616cfbcb4/a87c9f7493e17b6aaa1b0ff155ce5765/cgi-bin/en/account/login/index.php?cmd=_login-processing&login_cmd=_login-done&login_access=1322350432,benign
http://185.214.10.180/sparc,malware
paypal.com-us.cgi-bin.webscr.cmdflowsession.5evz-w6sy-2cv1um6beooyfoha0tgg1rj8mso2gsy6.wy3e7zoy6mq.msy-dispatch.5885d80a13c0db1f8e263663d3faee8d43b1bb6ca3ed6d43d.lafrancaisediamant.com/bf0ff4b6ba2d1fb37c64adc9f49eb533/,benign
yelp.com/biz/campbell-country-recreatn-cntr-amelia,benign
amazon.com/Topps-Howser-Kansas-Royals-Baseball/dp/B000WFMEJS,benign
classmates.com/directory/public/memberprofile/list.htm?regId=50019031,benign
charlierose.com/guest/view/3579,benign
http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify1.id8-eu.co.uk/identify-customer=RyZK5XV8cqBHjNU2tHUVDDUHHQhmGqUhbT6k6nicrobRWr51Mb6Ftijsx8MYyikbNi9QxKpPHRashs5UeoQAtsHZOP6kQimo7euv/,phishing
nouvelles.umontreal.ca/udem-news/news-digest/cavalia-s-equestrian-stars-treated-at-faculty-of-veterinary-medicine.html,benign
